Term Name,Academic Year,Term Number,Weekday,Start Date,End Date,Revenue Target,Previous Term,Same Term Last Year
25/26 Term 4,25/26,4,Monday,2026-06-22,2026-09-07,445000,25/26 Term 3,24/25 Term 4
25/26 Term 4,25/26,4,Tuesday,2026-05-12,2026-08-28,445000,25/26 Term 3,24/25 Term 4
25/26 Term 4,25/26,4,Wednesday,2026-05-20,2026-08-12,445000,25/26 Term 3,24/25 Term 4
25/26 Term 4,25/26,4,Thursday,2026-05-07,2026-07-23,445000,25/26 Term 3,24/25 Term 4
25/26 Term 4,25/26,4,Friday,2026-05-22,2026-08-14,445000,25/26 Term 3,24/25 Term 4
25/26 Term 4,25/26,4,Saturday,2026-05-02,2026-07-18,445000,25/26 Term 3,24/25 Term 4
25/26 Term 3,25/26,3,Monday,2026-03-16,2026-06-15,445000,25/26 Term 2,24/25 Term 3
25/26 Term 3,25/26,3,Tuesday,2026-02-03,2026-05-05,445000,25/26 Term 2,24/25 Term 3
25/26 Term 3,25/26,3,Wednesday,2026-02-25,2026-05-13,445000,25/26 Term 2,24/25 Term 3
25/26 Term 3,25/26,3,Thursday,2026-02-05,2026-04-30,445000,25/26 Term 2,24/25 Term 3
25/26 Term 3,25/26,3,Friday,2026-02-13,2026-05-15,445000,25/26 Term 2,24/25 Term 3
25/26 Term 3,25/26,3,Saturday,2026-01-31,2026-04-25,445000,25/26 Term 2,24/25 Term 3
